2022/2/16 8,0.0,0.26
2022/2/16 9,0.0,0.48
2022/2/16 10,0.1,0.96
2022/2/16 11,0.2,1.09
2022/2/16 12,1.0,2.03
2022/2/16 13,1.0,2.12
2022/2/16 14,1.0,1.98
2022/2/16 15,0.6,1.19
2022/2/16 16,0.7,0.67
2022/2/16 17,0.3,0.18
2022/2/16 18,0.0,0.0
2022/2/17 7,0.0,0.02
2022/2/17 8,0.0,0.28
2022/2/17 9,0.2,0.61
2022/2/17 10,0.1,0.82
2022/2/17 11,0.2,1.17
2022/2/17 12,1.0,2.27
2022/2/17 13,1.0,2.28
2022/2/17 14,1.0,2.03
2022/2/17 15,1.0,1.54
2022/2/17 16,0.9,0.93
2022/2/17 17,0.0,0.16
2022/2/17 18,0.0,0.0
2022/2/18 7,0.0,0.04
2022/2/18 8,0.9,0.54
2022/2/18 9,0.2,0.65
2022/2/18 10,0.4,1.29
2022/2/18 11,0.0,1.15
2022/2/18 12,0.3,1.26
2022/2/18 13,0.4,1.58
2022/2/18 14,0.1,1.04
2022/2/18 15,0.2,0.73
2022/2/18 16,0.0,0.22
2022/2/18 17,0.0,0.13
2022/2/18 18,0.0,0.0
2022/2/19 7,0.0,0.03
2022/2/19 8,0.0,0.3
2022/2/19 9,0.4,0.92
2022/2/19 10,1.0,1.44
2022/2/19 11,1.0,1.83
2022/2/19 12,0.8,1.85
2022/2/19 13,0.2,1.35
2022/2/19 14,0.4,1.31
2022/2/19 15,0.6,1.06
2022/2/19 16,0.6,0.6
2022/2/19 17,0.0,0.16
2022/2/19 18,0.0,0.0
2022/2/20 7,0.0,0.01
2022/2/20 8,0.0,0.08
2022/2/20 9,0.0,0.25
2022/2/20 10,0.3,1.09
2022/2/20 11,0.3,1.32
2022/2/20 12,0.2,1.37
2022/2/20 13,0.5,1.42
2022/2/20 14,0.2,0.95
2022/2/20 15,0.1,0.83
2022/2/20 16,0.0,0.36
2022/2/20 17,0.0,0.11
2022/2/20 18,0.0,0.0
2022/2/21 7,0.0,0.01
2022/2/21 8,0.0,0.22
2022/2/21 9,0.0,0.22
2022/2/21 10,0.0,0.5
2022/2/21 11,0.0,0.77
2022/2/21 12,0.0,0.72
2022/2/21 13,0.0,0.94
2022/2/21 14,0.0,0.8
2022/2/21 15,0.0,0.32
2022/2/21 16,0.0,0.18
2022/2/21 17,0.0,0.08
2022/2/21 18,0.0,0.0
2022/2/22 7,0.0,0.01
2022/2/22 8,0.0,0.06
2022/2/22 9,0.0,0.13
2022/2/22 10,0.0,0.31
2022/2/22 11,0.0,0.42
2022/2/22 12,0.0,0.27
2022/2/22 13,0.0,0.41
2022/2/22 14,0.1,0.87
2022/2/22 15,0.4,0.98
2022/2/22 16,0.0,0.25
2022/2/22 17,0.0,0.05
2022/2/22 18,0.0,0.0
2022/2/23 7,0.0,0.03
2022/2/23 8,0.0,0.14
2022/2/23 9,0.1,0.48
2022/2/23 10,0.3,1.02
2022/2/23 11,0.0,0.88
2022/2/23 12,0.5,1.87
2022/2/23 13,0.4,1.72
2022/2/23 14,0.2,1.27
2022/2/23 15,0.6,1.34
2022/2/23 16,0.1,0.38
2022/2/23 17,0.0,0.19
2022/2/23 18,0.0,0.01
2022/2/24 7,0.0,0.03
2022/2/24 8,0.5,0.52
2022/2/24 9,0.4,0.99
2022/2/24 10,0.2,0.81
2022/2/24 11,0.3,1.21
2022/2/24 12,1.0,2.45
2022/2/24 13,0.8,1.91
2022/2/24 14,0.7,1.61
2022/2/24 15,0.2,0.84
2022/2/24 16,0.1,0.46
2022/2/24 17,0.0,0.19
2022/2/24 18,0.0,0.01
2022/2/25 7,0.0,0.03
2022/2/25 8,0.0,0.28
2022/2/25 9,0.2,0.86
2022/2/25 10,0.6,1.57
2022/2/25 11,0.5,1.65
2022/2/25 12,0.3,1.43
2022/2/25 13,0.1,1.19
2022/2/25 14,0.0,0.99
2022/2/25 15,0.1,0.83
2022/2/25 16,0.0,0.43
2022/2/25 17,0.0,0.14
2022/2/25 18,0.0,0.01
2022/2/26 7,0.3,0.09
2022/2/26 8,0.9,0.57
2022/2/26 9,1.0,1.29
2022/2/26 10,1.0,1.84
2022/2/26 11,1.0,1.87
2022/2/26 12,0.9,2.14
2022/2/26 13,0.3,1.28
2022/2/26 14,0.8,2.04
2022/2/26 15,0.5,0.94
2022/2/26 16,0.2,0.55
2022/2/26 17,0.1,0.21
2022/2/26 18,0.0,0.01
2022/2/27 7,0.0,0.02
2022/2/27 8,0.0,0.1
2022/2/27 9,0.0,0.37
2022/2/27 10,0.5,1.27
2022/2/27 11,0.7,1.67
2022/2/27 12,0.0,0.69
2022/2/27 13,0.0,0.85
2022/2/27 14,0.0,0.81
2022/2/27 15,0.2,1.03
2022/2/27 16,0.3,0.63
2022/2/27 17,0.0,0.22
2022/2/27 18,0.0,0.01
2022/2/28 7,0.0,0.06
2022/2/28 8,0.7,0.59
2022/2/28 9,0.4,0.93
2022/2/28 10,0.9,1.86
2022/2/28 11,0.2,1.16
2022/2/28 12,0.4,1.44
2022/2/28 13,0.0,0.75
2022/2/28 14,0.8,1.75
2022/2/28 15,0.2,0.79
2022/2/28 16,0.2,0.46
2022/2/28 17,0.1,0.2
2022/2/28 18,0.0,0.01
